                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.7755,                0.48989,                0.97261,                0.87849,                0.89937,                0.93192,                0.71146,                0.82526,                0.49788,                0.98623,              0.0002377,              0.0002377,              0.0002377
                     79,                0.77156,                0.48638,                0.96994,                0.87002,                0.89815,                0.93034,                0.70972,                0.82427,                0.50249,                0.98523,              0.0002278,              0.0002278,              0.0002278
                     80,                0.76883,                0.48618,                0.96961,                0.86674,                0.91841,                0.93193,                0.71181,                0.82048,                0.49201,                0.98472,              0.0002179,              0.0002179,              0.0002179
                     81,                0.77493,                0.48507,                0.97144,                0.87032,                0.89816,                0.93154,                0.71161,                0.82313,                0.49891,                0.98794,               0.000208,               0.000208,               0.000208
                     82,                0.77157,                0.47844,                0.96966,                0.87599,                0.89948,                0.93224,                 0.7138,                 0.8225,                0.49924,                0.98731,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.7728,                0.48498,                0.97313,                0.88544,                0.89547,                0.93396,                0.71486,                0.82261,                 0.4892,                0.98974,              0.0001882,              0.0001882,              0.0001882
                     84,                0.76105,                0.48154,                0.96999,                0.87748,                0.90197,                0.93247,                0.71472,                0.82175,                 0.4926,                0.98711,              0.0001783,              0.0001783,              0.0001783
                     85,                0.76886,                0.48129,                0.97253,                0.87752,                0.90504,                0.93418,                0.71441,                0.81818,                0.49077,                0.98801,              0.0001684,              0.0001684,              0.0001684
                     86,                0.75682,                0.47672,                0.96508,                0.87436,                0.90265,                0.93334,                0.71487,                0.81861,                0.48801,                0.98788,              0.0001585,              0.0001585,              0.0001585
                     87,                0.75384,                0.47462,                0.96637,                0.86892,                0.90835,                0.93277,                0.71458,                0.81881,                0.48995,                0.98589,              0.0001486,              0.0001486,              0.0001486
                     88,                0.76016,                0.46987,                0.96698,                0.88309,                0.90196,                0.93107,                0.71392,                0.81834,                0.48591,                0.98483,              0.0001387,              0.0001387,              0.0001387
                     89,                0.74928,                0.46736,                0.95985,                 0.8657,                0.90455,                0.93123,                0.71357,                0.81942,                0.49351,                0.98494,              0.0001288,              0.0001288,              0.0001288
                     90,                0.74368,                0.46163,                0.95874,                 0.8682,                0.90637,                0.93078,                0.71142,                0.82151,                0.49376,                0.98841,              0.0001189,              0.0001189,              0.0001189
                     91,                0.73074,                0.43502,                0.96085,                0.87165,                0.90708,                0.92837,                0.70624,                0.82808,                0.49569,                 0.9924,               0.000109,               0.000109,               0.000109
                     92,                0.72623,                0.42756,                0.96033,                0.87119,                0.90247,                0.92913,                0.70883,                0.82411,                0.49768,                0.98701,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.71861,                0.41817,                0.95806,                0.87488,                 0.9084,                0.92981,                0.71074,                0.82359,                0.49388,                0.98719,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.71377,                0.41691,                0.95145,                0.86902,                0.90917,                0.93065,                0.71197,                 0.8206,                 0.4903,                  0.987,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.71344,                0.41397,                0.95586,                0.87561,                0.91045,                0.93214,                0.71418,                0.82075,                 0.4923,                0.98678,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.71085,                0.41598,                0.95686,                0.87724,                0.90518,                0.93276,                0.71468,                0.81818,                0.48787,                0.98581,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.70934,                0.41103,                0.94893,                0.87746,                0.90903,                0.93295,                0.71609,                0.81785,                0.49152,                0.98563,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.70443,                0.41012,                0.95014,                0.87639,                0.90855,                0.93272,                 0.7148,                0.81681,                0.49349,                0.98613,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.70496,                 0.4091,                 0.9492,                0.87799,                0.90514,                0.93283,                0.71512,                0.81659,                 0.4912,                0.98615,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.70557,                0.40935,                0.94965,                0.87668,                0.90726,                0.93206,                0.71541,                0.81623,                0.49115,                0.98486,               1.99e-05,               1.99e-05,               1.99e-05
